categoria;urlCategoria;article;descripcio;tipus;urlArticle;creador;dataPublicacio;paraulesClaus
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;9 terrasses secretes de Barcelona on encara no has estat;Terrasses poc concorregudes i amagades perquè et prenguis la teva canya i tapa en esplèndida solitud o bona companyia;Article;https://www.timeout.cat/barcelona/ca/restaurants/terrasses-secretes-de-barcelona-on-segurament-mai-has-estat;Ricard Martín;2021-10-06T22:00:00Z;['Restaurants', 'Tema: Vibe: Peculiar', 'Tema: Good for: Going with friends', 'Tema: Vibe: Beautiful', 'Tema: Good for: Locals', 'Calendari de festivitats: Estiu', 'Categorias: Restaurants', 'global kickers: undefined', 'global kickers: Love Local']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;La millor xocolata de Barcelona!;Pastissos, bombons, cookies, gelats, postres... Seleccionem els locals on trobareu el millor cacau;Article;https://www.timeout.cat/barcelona/ca/restaurants-cafes/la-millor-xocolata-de-barcelona;['Ricard Martín', 'Laura Conde'];2021-09-09T22:00:00Z;['Restaurants', 'Categorias: Restaurants', 'contributor: Laura Conde']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els 11 millors ramen que xarruparàs a Barcelona;Els locals que confirmen el boom del ramen a Barcelona. Amunt els bastonets!;Article;https://www.timeout.cat/barcelona/ca/restaurants/ramen-a-barcelona;Ricard Martín;2021-10-05T22:00:00Z;['Restaurants', 'Restaurants: Japonesa']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;19 restaurants vegetarians de Barcelona que no et pots perdre;Establiments nous i també grans clàssics de la cuina vegetariana i vegana més deliciosa de la ciutat;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/restaurants-vegetarians;Ricard Martín;2021-09-30T22:00:00Z;['Restaurants', 'Restaurants: Vegetariana']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;18 dels millors restaurants d'arròs de Barcelona;18 restaurants de Barcelona on preparen les millors receptes d'arròs;Article;https://www.timeout.cat/barcelona/ca/restaurants/els-millors-arrossos-de-barcelona;['María José Gómez', 'Ricard Martín', 'Manuel Pérez'];2021-07-01T22:00:00Z;['Restaurants', 'Categorias: Restaurants']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Sabors sense prejudicis als restaurants de Barcelona amb propietaris negres;Ens inspirem a Le Saraba, un restaurant africà de Barcelona exemple per a la integració a la ciutat i més enllà;Article;https://www.timeout.cat/barcelona/ca/restaurants/sabors-sense-perjudicis-als-restaurants-de-barcelona-amb-propietaris-negres;Johann Wald;2020-07-02T22:00:00Z;['Restaurants', 'Categorias: Restaurants', 'global kickers: Love Local']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;14 pizzeries de Barcelona que has de tastar ja;Clàssiques, noves, especialitats sense gluten... us portem un llistat de les pizzeries més delicioses i econòmiques. Gaudiu com si fóssiu a Itàlia!;Article;https://www.timeout.cat/barcelona/ca/restaurants/les-millors-pizzeries-de-barcelona;;2021-03-15T23:00:00Z;['Restaurants', 'Tema: Good for: Going with friends', 'Menjar fora: Xefs reconeguts', 'Restaurants: Pizza', 'Familiar: Good for: Apte per a nens', 'global kickers: undefined', 'global kickers: Love Local']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els 100 millors bars de Barcelona per dia, tarda i nit;Les millors barres i bars de Barcelona: còctels, cervesa, vermuts i vins;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/els-100-millors-bars-de-barcelona;['Ricard Martín', 'Martí Sales', 'Òscar Broc', 'Montse Virgili', 'Júlia Gamissans'];2021-08-02T22:00:00Z;['Bars i pubs', 'Begudes: Còctels', 'Begudes: Amants del vi', 'Begudes: Amants de la cervesa', 'Begudes: Ambient de bar', 'Begudes: Rutes de bars', 'Begudes: Especialistes en cerveses', 'Categorias: Bars i pubs']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els millors llocs on prendre cervesa artesana a Barcelona;El boom de la cervesa artesana ha sacsejat la ciutat. Visitem els brolladors barcelonins que altres ciutats envegen;Article;https://www.timeout.cat/barcelona/ca/bars-i-pubs/les-millors-cerveseries-artesanes-de-barcelona;['Martí Sales', 'Òscar Broc', 'Aitor Labrador'];2021-08-04T22:00:00Z;['Bars i pubs', 'Categorias: Bars i pubs']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els 100 millors bars de Barcelona per dia, tarda i nit;Les millors barres i bars de Barcelona: còctels, cervesa, vermuts i vins;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/els-100-millors-bars-de-barcelona;['Ricard Martín', 'Martí Sales', 'Òscar Broc', 'Montse Virgili', 'Júlia Gamissans'];2021-08-02T22:00:00Z;['Bars i pubs', 'Begudes: Còctels', 'Begudes: Amants del vi', 'Begudes: Amants de la cervesa', 'Begudes: Ambient de bar', 'Begudes: Rutes de bars', 'Begudes: Especialistes en cerveses', 'Categorias: Bars i pubs']
